study,scenario,eta,upgrade_k,seed,path_edges_total,path_edges_upgraded,path_upgraded_fraction,eg_success_total,eg_success_upgraded,upgrade_activation_fraction,transducer_allocation_failures,transducer_utilization_mean
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,2,8,0,0.0,4168,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,3,8,0,0.0,4214,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,4,8,0,0.0,4190,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,5,8,0,0.0,4236,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,6,8,0,0.0,4212,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,7,8,0,0.0,4163,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,8,8,0,0.0,4073,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,9,8,0,0.0,4098,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,10,8,0,0.0,4081,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,11,8,0,0.0,4235,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,12,8,0,0.0,4019,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,13,8,0,0.0,4031,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,14,8,0,0.0,4082,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,15,8,0,0.0,4051,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,16,8,0,0.0,4078,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,17,8,0,0.0,4283,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,18,8,0,0.0,4126,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,19,8,0,0.0,4155,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,20,8,0,0.0,4097,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,21,8,0,0.0,4082,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,22,8,0,0.0,4196,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,23,8,0,0.0,4163,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,24,8,0,0.0,4073,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,25,8,0,0.0,4148,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,26,8,0,0.0,4089,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,27,8,0,0.0,4112,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,28,8,0,0.0,4085,0,0.0,0,
study_upgrade_k_usage,EQT_UPGRADE,0.03,8,29,8,0,0.0,4159,0,0.0,0,
